	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
13857	FORD  Transit	Tourneo Connect 205 1.5 TDCi SWB Titanium 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2016. 08.	251 382 km	3 990 000 Ft	251 382 km	101 LE	1498 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13858	SKODA  Yeti	Yeti 1.2 TSI Style 	Prémium Német Autó	(XXII. kerület)	Minősített Prémium kereskedő	2014. 05.	178 000 km	3 990 000 Ft	178 000 km	110 LE	1197 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13859	SKODA  Octavia	Octavia Combi RS 2.0 TDI DSG 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2011. 09.	207 500 km	3 990 000 Ft	207 500 km	170 LE	1968 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13860	MAZDA  Mazda 6	Mazda 6 2.2 CD175 Revolution SD 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2014. 08.	226 500 km	3 990 000 Ft	226 500 km	175 LE	2191 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
13861	RENAULT  Clio	CLIO Grandtour 0.9 TCe Limited 30ekm. Magyar Navi Bluetooth Tempomat Újszerű!	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2019. 05.	30 992 km	3 990 000 Ft	30 992 km	88 LE	898 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13863	OPEL  Mokka	Mokka 1.7 CDTI Cosmo (Automata) 	Kibor Car	(Nyíregyháza)	Minősített Prémium kereskedő	2013. 02.	192 898 km	3 995 000 Ft	192 898 km	131 LE	1686 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13864	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Start-Stop Dynamic 	Kibor Car	(Nyíregyháza)	Minősített Prémium kereskedő	2019. 06.	178 075 km	3 995 000 Ft	178 075 km	110 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13865	MERCEDES-BENZ  C-osztály	C 200 T CDI BlueEFFICIENCY Avantgarde (Automata) 	Kibor Car	(Nyíregyháza)	Minősített Prémium kereskedő	2011. 07.	231 316 km	3 995 000 Ft	231 316 km	136 LE	2143 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13866	RENAULT  Koleos	Koleos 2.0 dCi Privilege (Automata) 	Kibor Car	(Nyíregyháza)	Minősített Prémium kereskedő	2014. 05.	153 338 km	3 995 000 Ft	153 338 km	173 LE	1995 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13867	FORD  Focus	Focus 1.5 TDCI Trend 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2018. 04.	188 870 km	3 999 000 Ft	188 870 km	120 LE	1499 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13868	KIA  Venga	Venga 1.6 CVVT EX Prémium 	Prémium Német Autó	(XXII. kerület)	Minősített Prémium kereskedő	2015. 05.	63 000 km	3 999 000 Ft	63 000 km	125 LE	1591 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13869	FORD  Focus	Focus 1.5 TDCI Trend 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2018. 04.	188 870 km	3 999 000 Ft	188 870 km	120 LE	1499 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13870	OPEL  Astra	Astra 1.4 T Enjoy 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2016. 09.	153 000 km	3 999 000 Ft	153 000 km	150 LE	1399 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13871	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Enjoy 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2017. 04.	120 000 km	3 999 000 Ft	120 000 km	110 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13872	VOLKSWAGEN  Jetta	Jetta 2.0 TDI BMT Highline 	Martian Invest Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2017. 07.	227 608 km	3 999 998 Ft	227 608 km	150 LE	1968 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
13873	HYUNDAI  ix35	ix35 1.6 Comfort 2WD 	3G Car Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2012. 04.	145 243 km	3 999 999 Ft	145 243 km	135 LE	1591 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13874	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 02.	208 000 km	4 000 000 Ft  + Áfa	208 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13875	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 02.	208 000 km	4 000 000 Ft  + Áfa	208 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13876	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 03.	191 000 km	4 050 000 Ft  + Áfa	191 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13877	SUBARU  Forester	Forester 2.0 X Active (Automata) (EU5) 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2012. 08.	85 093 km	4 090 000 Ft	85 093 km	150 LE	1994 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Automata
13878	SKODA  Rapid	Rapid 1.4 CR TDI Style 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2017. 06.	152 554 km	4 099 000 Ft	152 554 km	90 LE	1422 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13879	SKODA  Rapid	Rapid 1.4 CR TDI Style 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2017. 06.	152 554 km	4 099 000 Ft	152 554 km	90 LE	1422 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13880	FORD  Mondeo	Mondeo 2.0 TDCi Business 	Master Car	(Szolnok)	Minősített Prémium kereskedő	2016. 11.	220 411 km	4 099 000 Ft	220 411 km	150 LE	1997 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13881	OPEL  Astra	Astra 1.4 Selection 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2018. 10.	107 000 km	4 099 000 Ft	107 000 km	101 LE	1399 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13882	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Enjoy 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2017. 07.	120 000 km	4 099 000 Ft	120 000 km	110 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13883	FORD  Fiesta	Fiesta 1.5 TDCi Technology 	Top Autópark	(XVIII. kerület)	Minősített Prémium kereskedő	2020. 09.	121 750 km	4 099 999 Ft	121 750 km	86 LE	1499 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13884	KIA  Rio	Rio 1.2 CVVT LX 	RoyalCar Autoker Kft.	(Szombathely)	Minősített Prémium kereskedő	2018. 02.	74 500 km	4 099 999 Ft	74 500 km	84 LE	1248 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13885	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 02.	176 000 km	4 100 000 Ft  + Áfa	176 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13886	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 03.	178 000 km	4 100 000 Ft  + Áfa	178 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13887	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 02.	176 000 km	4 100 000 Ft  + Áfa	176 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13888	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 03.	178 000 km	4 100 000 Ft  + Áfa	178 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13889	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 03.	189 000 km	4 150 000 Ft  + Áfa	189 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13890	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 07.	199 000 km	4 150 000 Ft  + Áfa	199 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13891	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 07.	210 000 km	4 150 000 Ft  + Áfa	210 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13893	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 07.	196 000 km	4 150 000 Ft  + Áfa	196 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13894	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 07.	206 000 km	4 150 000 Ft  + Áfa	206 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13895	FORD  Courier	Transit Courier 1.5 TDCi Trend 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2019. 05.	115 000 km	4 173 229 Ft  + Áfa	115 000 km	101 LE	1498 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
13896	VOLKSWAGEN  Tiguan	Tiguan 2.0 CR TDI Sport&Style 4Motion 	Borongics Kft.	(Balatonboglár)	Márkakereskedő	2011. 03.	121 500 km	4 190 000 Ft	121 500 km	140 LE	1968 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13897	SKODA  Octavia	OCTAVIA Combi 1.6 CR TDI Style MO-i gépjármű/Garantált 155e km/Első tulajtól/ÁFÁ-S/Garanciával!	Business Lease Hungary Kft.	(Budaörs)	Minősített Prémium kereskedő	2017. 03.	155 731 km	4 190 000 Ft	155 731 km	108 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13898	FORD  Mondeo	Mondeo 2.0 TDCi Trend 	Master Car	(Szolnok)	Minősített Prémium kereskedő	2016. 09.	207 370 km	4 190 000 Ft	207 370 km	150 LE	1997 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13899	MERCEDES-BENZ  C-osztály	C 200 T CDI BlueEFFICIENCY Elegance (Automata) 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2013. 07.	239 500 km	4 190 000 Ft	239 500 km	136 LE	2143 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13900	OPEL  Mokka	Mokka 1.6 CDTI Cosmo Start-Stop 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2015. 07.	178 500 km	4 190 000 Ft	178 500 km	136 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13901	TOYOTA  Auris	Auris 1.8 HSD Sol Navi (Automata) 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2012. 06.	159 738 km	4 199 000 Ft	159 738 km	99 LE	1798 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13902	TOYOTA  Auris	Auris 1.8 HSD Sol Navi (Automata) 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2012. 06.	159 738 km	4 199 000 Ft	159 738 km	99 LE	1798 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13903	OPEL  Astra	Astra Sports Tourer 1.4 T Start-Stop Innovation (Automata) 	AGR Auto Kft.	(XVII. kerület)	Minősített Prémium kereskedő	2018. 06.	188 870 km	4 199 000 Ft	188 870 km	150 LE	1399 cm3	Benzin/Gáz	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13904	OPEL  Astra	Astra Sports Tourer 1.6 CDTI Start-Stop Innovation 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2017. 10.	130 000 km	4 199 000 Ft	130 000 km	110 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13905	OPEL  Astra	Astra 1.4 Selection 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2018. 10.	107 000 km	4 199 000 Ft	107 000 km	101 LE	1399 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13906	KIA  Cee'd	Cee'd 1.4 CVVT Bronze 	RoyalCar Autoker Kft.	(Szombathely)	Minősített Prémium kereskedő	2017. 09.	123 217 km	4 199 999 Ft	123 217 km	99 LE	1396 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13907	FORD  Focus	Focus 1.6 Ti-VCT Trend Plus 	Körös Autócentrum Kft.	(Békéscsaba)	Márkakereskedő	2014. 11.	69 000 km	4 200 000 Ft	69 000 km	125 LE	1596 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13908	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 07.	155 000 km	4 200 000 Ft  + Áfa	155 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13909	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 07.	172 000 km	4 200 000 Ft  + Áfa	172 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13910	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 07.	160 000 km	4 200 000 Ft  + Áfa	160 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13911	OPEL  Vivaro	Vivaro 1.6 CDTI L1H1 2.9t Start-Stop 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 07.	180 000 km	4 200 000 Ft  + Áfa	180 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13912	OPEL  Ampera	Ampera (Automata) 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2012. 04.	170 000 km	4 249 000 Ft	170 000 km	150 LE	1398 cm3	Hibrid	Ferdehátú	Használt	Eladó	5 ajtós	4 fő	Fokozatmentes
13914	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 02.	165 000 km	4 250 000 Ft  + Áfa	165 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13915	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 03.	179 000 km	4 250 000 Ft  + Áfa	179 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13916	RENAULT  Trafic	Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2015. 03.	161 000 km	4 250 000 Ft  + Áfa	161 000 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13917	FORD  Courier	Transit Courier 1.5 TDCi Trend 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2019. 06.	38 000 km	4 252 000 Ft  + Áfa	38 000 km	101 LE	1498 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
13918	FORD  Courier	Transit Courier 1.5 TDCi Trend 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2019. 06.	51 000 km	4 252 000 Ft  + Áfa	51 000 km	101 LE	1498 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
13919	FIAT  Dobló	Dobló Cargo 1.6 Mjet Maxi SX E6 	Glass Kft.	(Békéscsaba)	Márkakereskedő	2019. 08.	162 090 km	4 289 000 Ft  + Áfa	162 090 km	120 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13920	TOYOTA  Yaris	Yaris 1.5 HSD Active (Automata) 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2013. 10.	99 874 km	4 290 000 Ft	99 874 km	75 LE	1497 cm3	Hibrid	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13921	SKODA  Octavia	OCTAVIA 1.6 CR TDI Style FRISS VEZÉRLÉS/MO-i gépjármű/Garantált km/Első tulajtól/ÁFÁ-S/Garanciával!	Business Lease Hungary Kft.	(Budaörs)	Minősített Prémium kereskedő	2018. 10.	239 409 km	4 290 000 Ft	239 409 km	113 LE	1598 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13922	BMW  1-es sorozat	118d (Automata) Sport Line ProfNavi Radar Ülésfűtés Combtámasz	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2014. 11.	200 573 km	4 290 000 Ft	200 573 km	140 LE	1995 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13923	VOLKSWAGEN  Caddy	Caddy 1.6 CR TDI Life Trendline 	B-A Autókereskedés és Autókölcsönző	(Keszthely)	Minősített Prémium kereskedő	2014. 05.	163 250 km	4 290 000 Ft	163 250 km	102 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13924	OPEL  Astra	ASTRA K Sports Tourer 1.6 CDTI Start-Stop Enjoy Navi!Sávtartó!Táblafelismerő!Mo-i!1.Tulaj!128.703Km!ÁFÁ-s!THM10.99%!	Opticar '99 Kft.	(Szigetszentmiklós)	Márkakereskedő	2017. 01.	128 703 km	4 290 000 Ft	128 703 km	108 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13925	FIAT  500	500 1.2 8V Lounge S&S Automata Magyar Napfénytető Navi Radar 54e km	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2016. 01.	54 726 km	4 290 000 Ft	54 726 km	68 LE	1242 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Automata
13926	OPEL  Astra	Astra 1.6 CDTI Enjoy 	Cartecum - Autoalegjobbaron.hu	(Budaörs)	Minősített Prémium kereskedő	2018. 02.	140 277 km	4 295 000 Ft	140 277 km	110 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13927	OPEL  Astra	Astra 1.6 CDTI Enjoy (Automata) 	Cartecum - Autoalegjobbaron.hu	(Budaörs)	Minősített Prémium kereskedő	2018. 02.	167 150 km	4 295 000 Ft	167 150 km	136 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13928	NISSAN  Terrano	Terrano II 2.7 TDI SR 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	1997. 02.	279 144 km	4 299 000 Ft	279 144 km	125 LE	2664 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
13929	HYUNDAI  i30	i30 1.6 CRDi HP ISG Business Life 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2015. 11.	84 392 km	4 299 000 Ft	84 392 km	110 LE	1582 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13930	OPEL  Crossland X	Crossland X 1.2 Enjoy 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2018. 06.	88 000 km	4 299 000 Ft	88 000 km	83 LE	1199 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13931	NISSAN  Terrano	Terrano II 2.7 TDI SR 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	1997. 02.	279 144 km	4 299 000 Ft	279 144 km	125 LE	2664 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
13932	FIAT  Ducato	Ducato Maxi 2.3 Mjet XLH2 3.5 t Euro 6 	Glass Kft.	(Békéscsaba)	Márkakereskedő	2019. 08.	610 000 km	4 299 000 Ft  + Áfa	610 000 km	131 LE	2287 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13933	AUDI  Q5	Q5 2.0 TDI DPF 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2011. 05.	203 180 km	4 299 000 Ft	203 180 km	143 LE	1968 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13934	FORD  Focus	Focus 1.0 EcoBoost Technology 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2017. 11.	20 000 km	4 299 000 Ft	20 000 km	125 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13935	TOYOTA  Rav4	Rav4 2.2 D-4D Executive Navi 	RoyalCar Autoker Kft.	(Szombathely)	Minősített Prémium kereskedő	2010. 12.	203 000 km	4 299 999 Ft	203 000 km	150 LE	2231 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Automata
13936	AUDI  A4	A4 Avant 2.0 TDI multitronic 	Opel Debrecen	(Debrecen)	Márkakereskedő	2014. 09.	322 000 km	4 349 000 Ft	322 000 km	177 LE	1968 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13937	FORD  Focus	Focus 1.5 EcoBlue Business 	Top Autópark	(XVIII. kerület)	Minősített Prémium kereskedő	2019. 02.	164 518 km	4 349 999 Ft	164 518 km	120 LE	1499 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13938	SKODA  Octavia	OCTAVIA 1.0 TSI Style MO-i gépjármű/Garantált 198e km/Első tulajtól/ÁFÁ-S/1 év garanciával!	Business Lease Hungary Kft.	(Budaörs)	Minősített Prémium kereskedő	2019. 01.	198 630 km	4 350 000 Ft	198 630 km	113 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13939	SKODA  Octavia	Octavia Combi 1.6 CR TDI Ambition 	Glass Kft.	(Békéscsaba)	Márkakereskedő	2018. 09.	185 250 km	4 389 000 Ft	185 250 km	116 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13940	FIAT  Tipo	Tipo 1.4 T-Jet Lounge 	Glass Kft.	(Békéscsaba)	Márkakereskedő	2016. 04.	188 510 km	4 389 000 Ft	188 510 km	120 LE	1368 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13941	FORD  Fiesta	FIESTA 1.1 Trend Technology Klíma!Tempomat!Sávtartó!Esőszenzor!Mo.i!1.Tulaj!69.083Km!ÁFÁ-s!THM10.99%!	Opticar '99 Kft.	(Szigetszentmiklós)	Márkakereskedő	2018. 10.	69 083 km	4 389 000 Ft	69 083 km	84 LE	1084 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13942	PEUGEOT  308	308 SW 1.5 BlueHDi Active MO-i gépjármű/Garantált 138e km/Első tulajtól/ÁFÁ-S/Garanciával!	Business Lease Hungary Kft.	(Budaörs)	Minősített Prémium kereskedő	2019. 10.	138 695 km	4 390 000 Ft	138 695 km	100 LE	1499 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13943	MAZDA  CX-5	CX-5 2.2 CD Attraction 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2015. 02.	183 350 km	4 390 000 Ft	183 350 km	150 LE	2184 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13944	PEUGEOT  308	308 SW 1.5 BlueHDi Active EURO6.2 MO-i gépjármű/Garantált 146e km/Első tulajtól/ÁFÁ-S/Garanciával!	Business Lease Hungary Kft.	(Budaörs)	Minősített Prémium kereskedő	2020. 03.	146 005 km	4 390 000 Ft	146 005 km	100 LE	1499 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13945	OPEL  Astra	Astra Sedan 1.4 T Enjoy EURO6 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2017. 01.	69 440 km	4 390 000 Ft	69 440 km	140 LE	1364 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13946	FORD  Focus	FOCUS 1.0 EcoBoost Technology Mo.i!1.Tulaj!49.660Km!ÁFÁ-s!THM10.99%!	Opticar '99 Kft.	(Szigetszentmiklós)	Márkakereskedő	2017. 05.	49 660 km	4 390 000 Ft	49 660 km	123 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
